dbn,school,total_enrollment,amount_owed,district_name,district_no,assembly_district,senate_district
,PS 256,412,1098769.33,District 75,75,015,5
,PS 43,974,2597576.04,District 27,27,023,10
,PS 47 CHRIS GALAS,205,546717.75,District 27,27,023,15
,MS 53 BRIAN PICCOLO,347,925419.80,District 27,27,023,10
,PS 63 OLD SOUTH,1323,3528329.68,District 27,27,023,15
,PS 104 THE BAYS WATER,590,1573480.35,District 27,27,023,10
,PS 106,211,562719.25,District 27,27,023,15
,PS/MS 114 BELLE HARBOR,666,1776165.96,District 27,27,023,15
,MS 137 AMERICA'S SCHOOL-HEROES,1918,5115144.61,District 27,27,023,15
,PS 146 HOWARD BEACH,672,1792167.45,District 27,27,023,15
,PS 197 THE OCEAN SCHOOL,474,1264118.12,District 27,27,023,15
,JHS 202 ROBERT H GODDARD,1026,2736255.67,District 27,27,023,15
,PS 207 ROCKWOOD PARK,702,1872174.93,District 27,27,023,15
,PS 232 LINDENWOOD,1065,2840265.39,District 27,27,023,15
,KAPPA VI,263,701398.87,District 27,27,023,10
,WATERSIDE CHILDREN'S STUDIO SCHOOL,379,1010761.11,District 27,27,023,15
,WATERSIDE SCHOOL FOR LEADESHIP,176,469377.19,District 27,27,023,15
,VILLAGE ACADEMY,325,866747.65,District 27,27,023,10
,SCHOLARS' ACADEMY,1251,3336311.74,District 27,27,023,15
,FREDERICK DOUGLASS ACAD VI HS,404,1077434.01,District 27,27,023,10
,CHANNEL VIEW SCHOOL FOR RESEARCH,641,1709493.06,District 27,27,023,15
,QUEENS HS FOR INFOR AND RESEARCH,318,848079.24,District 27,27,023,10
,ROBERT H GODDARD HS-COMM/TECH,603,1608150.26,District 27,27,023,15
,ACADEMY OF MEDICAL TECHNOLOGY,620,1653487.83,District 27,27,023,10
,ROCKAWAY PARK HS-ENVIORNMENT SUSTAIN,348,928086.72,District 27,27,023,15
,ROCKAWAY COLLEGIATE HIGH SCHOOL,312,832077.75,District 27,27,023,15
,BEACH CHANNEL HIGH SCHOOL,133,354699.81,District 27,27,023,15
,JOHN ADAMS HIGH SCHOOL,2778,7408692.25,District 27,27,023,15
,PS 23 AT QUEENS CHILDREN CTR,309,824077.00,District 75,75,024,11
,PS 18 WINCHESTER,588,1568146.52,District 26,26,024,11
,PS 115 GLEN OAKS,584,1557478.86,District 26,26,024,11
,IRWIN ALTMAN MIDDLE SCHOOL 172,966,2576240.72,District 26,26,024,11
,PS/IS 178 HOLLISWOOD,524,1397463.91,District 26,26,024,11
,PS 186 CASTLEWOOD,336,896083.73,District 26,26,024,11
,PS 188 KINGSBURY,596,1589481.85,District 26,26,024,11
,PS 205 ALEXANDER GRAHAM BELL,276,736068.78,District 26,26,024,11
,PS/IS 266,657,1752163.72,District 26,26,024,11
,MARTIN VAN BUREN HIGH SCHOOL,2041,5443175.26,District 26,26,024,14
,QUEENS HIGH SCHOOL OF TEACHING,1158,3088288.56,District 26,26,024,11
,PS 51,230,613390.65,District 27,27,024,10
,RICHMOND HILL HIGH SCHOOL,2181,5816543.48,District 27,27,024,10
,PS 82 HAMMOND,635,1693491.57,District 28,28,024,14
,PS 86,858,2288213.80,District 28,28,024,11
,PS 117 J KELD/BRIARWOOD SCHOOL,1003,2674916.60,District 28,28,024,14
,PS 121,812,2165535.67,District 28,28,024,10
,PS 161 ARTHUR ASHE SCHOOL,680,1813502.78,District 28,28,024,10
,JHS 217 ROBERT A VAN WYCK,1636,4363074.34,District 28,28,024,14
,QUEENS COLLEGIATE,646,1722827.64,District 28,28,024,14
,HILLSIDE ARTS AND LETTERS ACADEMY,422,1125438.49,District 28,28,024,14
,HIGH SCHOOL FOR COMMUNITY LEADERSHIP,360,960089.71,District 28,28,024,14
,QUEENS SATELLITE HIGH SCHOOL,223,594722.24,District 28,28,024,14
,JAMAICA GATEWAY TO THE SCIENCES,400,1066766.34,District 28,28,024,14
,JAMAICA HIGH SCHOOL,59,157348.04,District 28,28,024,14
,HILLCREST HIGH SCHOOL,3207,8552799.15,District 28,28,024,14
,THOMAS A EDISON CAREER-TECH HS,2158,5755204.42,District 28,28,024,11
,YOUNG WOMEN'S LRDSHP SCH-QUEENS,561,1496139.79,District 28,28,024,11
,PS 131 ABIGAIL ADAMS,838,2234875.49,District 29,29,024,11
,PS/IS 208,736,1962850.07,District 29,29,024,11
,PS 4,377,1005427.28,District 75,75,025,16
,PS 177,494,1317456.43,District 75,75,025,16
,PS 255,408,1088101.67,District 75,75,025,14
,PS 24 ANDREW JACKSON,937,2498900.16,District 25,25,025,16
,PS 120,896,2389556.61,District 25,25,025,16
,PS 154,668,1781499.79,District 25,25,025,14
,PS 163 FLUSHING HEIGHTS,580,1546811.20,District 25,25,025,16
,IS 237,1216,3242969.68,District 25,25,025,16
,IS 250 THE ROBERT F KENNEDY COMM MS,334,890749.90,District 25,25,025,14
,QUEENS SCHOOL OF INQUIRY (THE),588,1568146.52,District 25,25,025,14
,EAST-WEST SCHOOL OF INTERNATION STUD,643,1714826.90,District 25,25,025,16
,"QUEENS COLLEGE SCHOOL-MATH, SCI, TEC",471,1256117.37,District 25,25,025,16
,ROBERT F KENNEDY COMMUNITY HS,688,1834838.11,District 25,25,025,14
,PS 26 RUFUS KING,606,1616151.01,District 26,26,025,11
,PS 31 BAYSIDE,485,1293454.19,District 26,26,025,11
,PS 46 ALLEY POND,573,1528142.79,District 26,26,025,16
,JHS 74 NATHANIEL HAWTHORNE,1002,2672249.69,District 26,26,025,16
,MS 158 MARIE CURIE,1119,2984278.84,District 26,26,025,11
,PS 162 JOHN GOLDEN,713,1901511.00,District 26,26,025,11
,PS 173 FRESH MEADOW,875,2333551.37,District 26,26,025,16
,PS 213 THE CARL ULLMAN SCHOOL,364,970757.37,District 26,26,025,16
,JHS 216 GEORGE J RYAN,1359,3624338.65,District 26,26,025,16
,FRANCIS LEWIS HIGH SCHOOL,4022,10726335.57,District 26,26,025,16
,QUEENS GATEWAY TO HEALTH SCI SEC,804,2144200.35,District 28,28,025,14
,PS 811,358,954755.88,District 75,75,026,11
,IS 25 ADRIEN BLOCK,778,2074860.54,District 25,25,026,11
,PS 32 STATE STREET,902,2405558.10,District 25,25,026,11
,PS 79 FRANCIS LEWIS,916,2442894.92,District 25,25,026,11
,PS 107 THOMAS A DOOLEY,894,2384222.77,District 25,25,026,11
,PS 130,331,882749.15,District 25,25,026,11
,PS 169 BAY TERRACE,362,965423.54,District 25,25,026,11
,PS 184 FLUSHING MANOR,470,1253450.45,District 25,25,026,11
,PS 193 ALFRED J KENNEDY,447,1192111.39,District 25,25,026,11
,JHS 194 WILLIAM CARR,1045,2786927.07,District 25,25,026,11
,PS 209 CLEARVIEW GARDENS,600,1600149.51,District 25,25,026,11
,BELL ACADEMY,366,976091.20,District 25,25,026,11
,WORLD JOURNALISM PREPARATORY,605,1613484.09,District 25,25,026,11
,PS 41 CROCHERON,560,1493472.88,District 26,26,026,11
,JHS 67 LOUIS PASTEUR,881,2349552.87,District 26,26,026,11
,PS 94 DAVID D PORTER,397,1058765.59,District 26,26,026,11
,PS 98 THE DOUGLASTON SCHOOL,219,584054.57,District 26,26,026,11
,PS 159,581,1549478.11,District 26,26,026,11
,PS 203 OAKLAND GARDENS,838,2234875.49,District 26,26,026,11
,PS 221 THE NORTH HILLS SCHOOL,605,1613484.09,District 26,26,026,11
,BENJAMIN N CARDOZO HIGH SCHOOL,3633,9688905.30,District 26,26,026,16
,BAYSIDE HIGH SCHOOL,3245,8654141.95,District 26,26,026,11
,PS 29,693,1848172.69,District 25,25,027,11
,PS 129 PATRICIA LARKIN,999,2664248.94,District 25,25,027,11
,PS 164 QUEENS VALLEY,599,1597482.60,District 25,25,027,15
,PS 165 EDITH K BERGTRAUM,712,1898844.09,District 25,25,027,15
,PS/MS 200 THE POMONOK SCH & STAR ACA,423,1128105.41,District 25,25,027,16
,PS 201 THE DISCOVERY SCHOOL,441,1176109.89,District 25,25,027,16
,PS 219 PAUL KLAPPER,582,1552145.03,District 25,25,027,16
,JOHN BOWNE HIGH SCHOOL,3645,9720908.29,District 25,25,027,16
,TOWNSEND HARRIS HIGH SCHOOL,1151,3069620.15,District 25,25,027,16
,NORTH QUEENS COMMUNITY HIGH SCHOOL,201,536050.09,District 25,25,027,15
,PS 54 HILLSIDE,573,1528142.79,District 28,28,027,14
,PS 99 KEW GARDENS,846,2256210.81,District 28,28,027,15
,JHS 157 STEPHEN A HALSEY,1476,3936367.80,District 28,28,027,16
,PS 175 THE LYNN GROSS DISCOVERY,734,1957516.24,District 28,28,027,16
,PS 196 GRAND CENTRAL PARKWAY,749,1997519.98,District 28,28,027,15
,PS 233,376,1002760.36,District 75,75,028,15
,PS 87 MIDDLE VILLAGE,543,1448135.31,District 24,24,028,15
,PS/IS 113 ANTHONY J PRANZO,964,2570906.88,District 24,24,028,15
,IS 119 THE GLENDALE,1054,2810929.31,District 24,24,028,15
,PS 128 LORRAINE TUZZO-JUNIPER VALLEY,908,2421559.60,District 24,24,028,15
,MASPETH HIGH SCHOOL,753,2008187.64,District 24,24,028,15
,PS 56 HARRY EICHLER,418,1114770.83,District 27,27,028,10
,PS 90 HORACE MANN,855,2280213.06,District 27,27,028,15
,PS 101 SCHOOL IN THE GARDENS,573,1528142.79,District 28,28,028,15
,PS 139 REGO PARK,868,2314882.96,District 28,28,028,16
,PS 144 COL JEROMUS REMSEN,772,2058859.04,District 28,28,028,15
,PS 174 WILLIAM SIDNEY MOUNT,638,1701492.32,District 28,28,028,15
,JHS 190 RUSSELL SAGE,1005,2680250.43,District 28,28,028,16
,ACAD FOR EXCELLENCE-ARTS (THE),167,445374.95,District 28,28,028,15
,METROPOLITAN EXPEDITIONARY LRNING,607,1618817.92,District 28,28,028,15
,FOREST HILLS HIGH SCHOOL,3793,10115611.84,District 28,28,028,15
,QUEENS METROPOLITAN HIGH SCHOOL,1137,3032283.33,District 28,28,028,15
,PS 15 JACKIE ROBINSON,443,1181443.72,District 29,29,029,14
,PS 35 NATHANIEL WOODHULL,655,1746829.89,District 29,29,029,14
,PS 36 ST ALBANS SCHOOL,492,1312122.60,District 29,29,029,14
,PS 38 ROSEDALE,207,552051.58,District 29,29,029,14
,IS 59 SPRINGFIELD GARDENS,559,1490805.96,District 29,29,029,14
,PS 95 EASTWOOD,1464,3904364.81,District 29,29,029,14
,PS/IS 116 WILLIAM C HUGHLEY,687,1832171.19,District 29,29,029,14
,PS 132 RALPH BUNCHE,294,784073.26,District 29,29,029,14
,PS/MS 138 SUNRISE,752,2005520.72,District 29,29,029,10
,PS 156 LAURELTON,452,1205445.97,District 29,29,029,14
,PS 195 WILLIAM HABERLE,626,1669489.33,District 29,29,029,10
,PS 251,333,888082.98,District 29,29,029,11
,GORDON PARKS SCHOOL (THE),669,1784166.71,District 29,29,029,14
,QUEENS UNITED MIDDLE SCHOOL,77,205352.52,District 29,29,029,14
,QUEENS PREP ACADEMY,452,1205445.97,District 29,29,029,14
,EXCELSIOR PREP HIGH SCHOOL,473,1261451.20,District 29,29,029,14
,GEO WASHINGTON CARVER HIGH SCHOOL,492,1312122.60,District 29,29,029,14
,PREP ACADEMY FOR WRITERS,520,1386796.24,District 29,29,029,14
,CAMBRIA HEIGHTS ACADEMY,341,909418.31,District 29,29,029,14
,EAGLE ACADEMY FOR YOUNG MEN III,345,920085.97,District 29,29,029,14
,PS 49 DOROTHY BONAWIT KOLE,1113,2968277.35,District 24,24,030,15
,PS 58 SCHOOL OF HEROES,984,2624245.20,District 24,24,030,15
,IS 73 THE FRANK SANSIVIERI INTER SCH,1706,4549758.45,District 24,24,030,15
,PS 153 MASPETH ELEMENTARY,1420,3787020.51,District 24,24,030,15
,PS 229 EMANUEL KAPLAN,1516,4043044.44,District 24,24,030,15
,PS 290,278,741402.61,District 24,24,030,15
,PS 11 KATHRYN PHELAN,1353,3608337.15,District 30,30,030,12
,PS 112 DUTCH KILLS,446,1189444.47,District 30,30,030,12
,PS 151 MARY D CARTER,421,1122771.58,District 30,30,030,13
,PS 166 HENRY GRADSTEIN,1169,3117624.64,District 30,30,030,12
,IS 204 OLIVER W HOLMES,704,1877508.76,District 30,30,030,12
,ACAD FOR CAREERS IN TELEVISION-FILM,470,1253450.45,District 30,30,030,12
,FRANK SINATRA SCHOOL OF THE ARTS HS,759,2024189.13,District 30,30,030,12
,PS/MS 42 R VERNAM,643,1714826.90,District 27,27,031,10
,PS 96,283,754737.19,District 27,27,031,10
,PS 100 GLEN MORRIS,999,2664248.94,District 27,27,031,10
,PS 105 THE BAY SCHOOL,799,2130865.77,District 27,27,031,10
,PS 108 CAPT VINCENT G FOWLER,1410,3760351.36,District 27,27,031,10
,PS 124 OSMOND A CHURCH,1343,3581667.99,District 27,27,031,10
,PS 155,543,1448135.31,District 27,27,031,10
,PS 183 DR RICHARD R GREEN,513,1368127.83,District 27,27,031,10
,PS 215 LUCRETIA MOTT,162,432040.37,District 27,27,031,10
,JHS 226 VIRGIL I GRISSOM,1194,3184297.53,District 27,27,031,10
,PS 253,481,1282786.53,District 27,27,031,10
,GOLDIE MAPLE ACADEMY,480,1280119.61,District 27,27,031,10
,PS 52,482,1285453.44,District 29,29,031,10
,PS 181 BROOKFIELD,327,872081.48,District 29,29,031,10
,IS 238 SUSAN B ANTHONY ACADEMY,1514,4037710.61,District 29,29,031,10
,PS/IS 268,603,1608150.26,District 29,29,031,10
,COLLABORATIVE ARTS MIDDLE SCHOOL,463,1234782.04,District 29,29,031,10
,COMMUNITY VOICES MIDDLE SCHOOL,473,1261451.20,District 29,29,031,10
,QUEENS TRANSITION CENTER,371,989425.78,District 75,75,032,10
,PS 45 CLARENCE WITHERSPOON,412,1098769.33,District 27,27,032,10
,PS 123,632,1685490.82,District 27,27,032,10
,PS 223 LYNDON B JOHNSON,612,1632152.50,District 27,27,032,10
,AUGUST MARTIN HIGH SCHOOL,823,2194871.75,District 27,27,032,10
,JHS 8 RICHARD S GROSSLEY,573,1528142.79,District 28,28,032,14
,PS 30,93,248023.17,District 28,28,032,10
,PS 40 SAMUEL HUNTINGTON,564,1504140.54,District 28,28,032,10
,PS 48 WILLIAM WORDSWORTH,457,1218780.55,District 28,28,032,10
,PS 50 TALFOURD LAWN ELEMENTARY SCH,735,1960183.15,District 28,28,032,10
,PS 55 MAURE,492,1312122.60,District 28,28,032,10
,CATHERINE & COUNT BASIE MS 72,887,2365554.36,District 28,28,032,10
,PS 80 THURGOOD MARSHALL MAGNET,554,1477471.38,District 28,28,032,10
,PS 140 EDWARD K ELLINGTON,561,1496139.79,District 28,28,032,14
