dbn,school,total_enrollment,amount_owed
01M539,"New Explorations into Science, Technology and Math High School",1725,4177501.5
01M184,P.S. 184m Shuang Wen,668,1617722.32
01M450,East Side Community School,649,1571709.26
01M020,P.S. 020 Anna Silver,631,1528117.94
01M696,Bard High School Early College,560,1356174.4
01M515,Lower East Side Preparatory High School,551,1334378.74
01M188,P.S. 188 The Island School,501,1213291.74
01M110,P.S. 110 Florence Nightingale,416,1007443.84
01M509,Marta Valle High School,401,971117.74
01M034,P.S. 034 Franklin D. Roosevelt,393,951743.82
01M140,P.S. 140 Nathan Straus,393,951743.82
01M142,P.S. 142 Amalia Castro,384,929948.16
01M839,Tompkins Square Middle School,377,912995.98
01M292,Henry Street School for International Studies,323,782222.02
01M134,P.S. 134 Henrietta Szold,318,770113.32
01M364,Earth School,318,770113.32
01M363,Neighborhood School,300,726522
01M448,University Neighborhood High School,299,724100.26
01M064,P.S. 064 Robert Simon,287,695039.38
01M019,P.S. 019 Asher Levy,285,690195.9
01M315,The East Village Community School,276,668400.24
01M361,The Children's Workshop School,258,624808.92
01M378,School for Global Leaders,244,590904.56
01M458,Forsyth Satellite Academy,224,542469.76
01M650,Cascades High School,222,537626.28
01M137,P.S. 137 John L. Bernstein,202,489191.48
01M015,P.S. 015 Roberto Clemente,190,460130.6
01M063,The STAR Academy - P.S.63,179,433491.46
01M345,"Collaborative Academy of Science, Technology, & Language-Arts Education",166,402008.84
01M301,"Technology, Arts, and Sciences Studio",158,382634.92
01M332,University Neighborhood Middle School,100,242174
02M475,Stuyvesant High School,3292,7972368.08
02M600,The High School of Fashion Industries,1732,4194453.68
02M420,High School for Health Professions and Human Services,1706,4131488.44
02M520,Murry Bergtraum High School for Business Careers,1466,3550270.84
02M630,Art and Design High School,1438,3482462.12
02M167,J.H.S. 167 Robert F. Wagner,1345,3257240.3
02M400,High School for Environmental Studies,1312,3177322.88
02M104,J.H.S. 104 Simon Baruch,1034,2504079.16
02M130,P.S. 130 Hernando De Soto,999,2419318.26
02M276,BATTERY PARK CITY SCHOOL,875,2119022.5
02M124,P.S. 124 Yung Wing,866,2097226.84
02M126,P.S. 126 Jacob August Riis,841,2036683.34
02M002,P.S. 002 Meyer London,822,1990670.28
02M011,P.S. 011 William T. Harris,820,1985826.8
02M003,P.S. 003 Charrette School,808,1956765.92
02M042,P.S. 042 Benjamin Altman,792,1918018.08
02M041,P.S. 041 Greenwich Village,791,1915596.34
02M234,P.S. 234 Independence School,785,1901065.9
02M655,Life Sciences Secondary School,771,1867161.54
02M575,Manhattan Comprehensive Night and Day High School,768,1859896.32
02M489,High School of Economics and Finance,767,1857474.58
02M006,P.S. 006 Lillie D. Blake,751,1818726.74
02M158,P.S. 158 Bayard Taylor,747,1809039.78
02M625,High School of Graphic Communication Arts,735,1779978.9
